date,strike_price,straddle_vwap,avg_call_price,avg_put_price,total_call_volume,total_put_volume,total_volume,volume_ratio,num_candles
2025-04-01,51400,1496.7014786720588,688.7993333333335,801.5446666666668,64253.0,78916.0,143169.0,0.8141948400831264,75
2025-04-02,51000,1525.9941283242601,984.508,543.2993333333333,133304.0,215157.0,348461.0,0.619566177256608,75
2025-04-03,51100,1541.0132821224677,1080.2420000000002,484.74866666666657,32072.0,63741.0,95813.0,0.503161230605105,75
2025-04-04,51700,1432.7902332860363,716.734,705.4206666666666,168409.0,191021.0,359430.0,0.8816255804335649,75
2025-04-07,49800,2131.6798610473697,1113.1480000000001,1051.4673333333333,51901.0,89730.0,141631.0,0.5784130168282625,75
2025-04-08,50600,1897.6719145359637,992.626,918.8713333333333,97263.0,106191.0,203454.0,0.9159250783964743,75
2025-04-09,50400,1898.0404743906809,940.4093333333333,939.3206666666665,100059.0,128803.0,228862.0,0.7768374960210555,75
2025-04-11,50900,1662.9672644823277,964.4399999999998,690.4873333333334,106938.0,145007.0,251945.0,0.73746784637983,75
2025-04-15,52100,1217.2919233195487,713.8786666666666,503.0953333333334,105208.0,108797.0,214005.0,0.9670119580503139,75
2025-04-16,52500,1113.540439389116,713.3113333333333,412.41333333333336,302774.0,309781.0,612555.0,0.9773807948195661,75
2025-04-17,53300,1140.9195456785378,867.8586666666666,375.31333333333333,181268.0,141389.0,322657.0,1.2820516447531278,75
